iter	Passed	Remaining
0	1	139
1	2	124
2	3	120
3	4	116
4	6	116
5	7	113
6	8	112
7	9	110
8	10	110
9	12	108
10	13	108
11	14	109
12	16	109
13	17	109
14	19	110
15	20	110
16	22	109
17	23	109
18	25	108
19	26	106
20	27	105
21	29	103
22	30	102
23	31	100
24	33	99
25	34	97
26	35	94
27	36	93
28	37	91
29	38	90
30	39	88
31	41	87
32	42	86
33	43	85
34	45	83
35	46	82
36	47	81
37	48	79
38	50	78
39	51	77
40	52	76
41	54	74
42	55	73
43	56	71
44	57	70
45	58	68
46	59	67
47	60	65
48	61	64
49	63	63
50	64	62
51	66	61
52	68	60
53	69	59
54	71	58
55	72	56
56	73	55
57	75	54
58	76	52
59	77	51
60	78	50
61	79	48
62	81	47
63	82	46
64	83	45
65	85	44
66	87	42
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	108	22
83	109	20
84	111	19
85	112	18
86	113	16
87	115	15
88	116	14
89	117	13
90	119	11
91	120	10
92	121	9
93	123	7
94	124	6
95	125	5
96	127	3
97	128	2
98	130	1
99	131	0
