iter	Passed	Remaining
0	143	142950
1	144	72008
2	145	48401
3	147	36803
4	149	29687
5	150	24921
6	151	21509
7	153	19000
8	155	17111
9	156	15530
10	158	14245
11	159	13149
12	162	12350
13	164	11590
14	166	10937
15	170	10476
16	171	9933
17	173	9465
18	175	9067
19	177	8675
20	178	8328
21	180	8008
22	182	7737
23	183	7465
24	184	7214
25	186	6981
26	188	6776
27	190	6606
28	191	6428
29	194	6273
30	196	6145
31	198	5996
32	199	5848
33	201	5716
34	203	5609
35	205	5495
36	206	5379
37	208	5265
38	209	5173
39	211	5079
40	213	4989
41	214	4894
42	215	4801
43	217	4736
44	219	4654
45	220	4577
46	222	4502
47	223	4438
48	225	4377
49	227	4313
50	228	4256
51	230	4202
52	233	4166
53	235	4119
54	236	4067
55	239	4036
56	241	3992
57	242	3946
58	244	3899
59	246	3859
60	248	3823
61	249	3778
62	252	3752
63	253	3714
64	255	3675
65	256	3633
66	258	3594
67	260	3573
68	262	3541
69	263	3506
70	265	3476
71	268	3457
72	269	3425
73	271	3396
74	272	3365
75	275	3350
76	277	3326
77	278	3296
78	280	3268
79	282	3253
80	284	3227
81	286	3202
82	286	3169
83	288	3144
84	290	3130
85	292	3105
86	293	3083
87	295	3058
88	297	3041
89	298	3022
90	300	3002
91	302	2980
92	303	2963
93	305	2944
94	307	2925
95	308	2909
96	310	2890
97	312	2876
98	314	2858
99	315	2840
100	317	2824
101	319	2813
102	321	2797
103	323	2784
104	325	2774
105	327	2760
106	328	2742
107	329	2724
108	331	2706
109	333	2699
110	335	2684
111	336	2669
112	337	2652
113	340	2643
114	341	2631
115	343	2618
116	344	2602
117	346	2589
118	348	2582
119	350	2569
120	351	2556
121	353	2540
122	355	2531
123	356	2519
124	358	2506
125	359	2492
126	360	2476
127	362	2468
128	364	2461
129	366	2449
130	367	2437
131	369	2432
132	371	2422
133	372	2409
134	374	2398
135	376	2389
136	378	2383
137	379	2373
138	381	2362
139	383	2355
140	385	2347
141	386	2334
142	388	2326
143	389	2315
144	391	2309
145	393	2300
146	398	2314
147	400	2305
148	402	2297
149	403	2288
150	405	2278
151	408	2277
152	409	2267
153	411	2259
154	413	2252
155	414	2244
156	416	2236
157	418	2229
158	420	2221
159	422	2218
160	423	2208
161	425	2199
162	426	2189
163	427	2181
164	430	2176
165	431	2169
166	433	2161
167	434	2154
168	437	2150
169	438	2142
170	440	2134
171	441	2126
172	443	2122
173	445	2114
174	446	2106
175	453	2122
176	455	2117
177	456	2110
178	459	2106
179	460	2098
180	462	2090
181	463	2082
182	465	2076
183	466	2070
184	468	2063
185	469	2054
186	472	2052
187	474	2048
188	475	2042
189	477	2035
190	479	2031
191	480	2023
192	482	2017
193	484	2010
194	485	2004
195	488	2003
196	489	1995
197	490	1987
198	492	1980
199	493	1973
200	495	1970
201	496	1962
202	498	1957
203	500	1951
204	502	1948
205	504	1943
206	505	1937
207	507	1931
208	509	1926
209	510	1921
210	512	1917
211	514	1911
212	516	1909
213	518	1905
214	520	1900
215	522	1897
216	525	1895
217	526	1888
218	527	1881
219	529	1876
220	531	1871
221	532	1867
222	534	1862
223	536	1857
224	537	1851
225	540	1850
226	541	1844
227	543	1838
228	544	1833
229	546	1828
230	548	1824
231	549	1818
232	551	1813
233	552	1808
234	555	1807
235	556	1801
236	558	1796
237	559	1790
238	561	1788
239	563	1783
240	564	1778
241	566	1773
242	567	1768
243	569	1764
244	570	1759
245	572	1754
246	573	1748
247	576	1746
248	577	1742
249	579	1737
250	580	1731
251	581	1727
252	584	1726
253	586	1721
254	587	1716
255	588	1710
256	591	1711
257	593	1706
258	594	1701
259	596	1696
260	598	1693
261	600	1690
262	601	1686
263	603	1681
264	605	1679
265	606	1674
266	608	1670
267	609	1665
268	611	1660
269	613	1658
270	615	1654
271	616	1650
272	618	1646
273	620	1644
274	622	1640
275	623	1635
276	624	1631
277	627	1628
278	629	1625
279	630	1621
280	632	1617
281	634	1614
282	635	1610
283	637	1606
284	638	1602
285	640	1597
286	642	1595
287	643	1591
288	645	1587
289	646	1583
290	648	1580
291	650	1576
292	651	1572
293	653	1568
294	654	1565
295	656	1562
296	658	1558
297	659	1554
298	661	1550
299	662	1546
300	664	1542
301	665	1539
302	667	1534
303	668	1530
304	670	1526
305	671	1523
306	673	1520
307	674	1515
308	676	1512
309	678	1510
310	680	1507
311	681	1503
312	683	1499
313	685	1496
314	687	1494
315	688	1490
316	689	1486
317	691	1482
318	693	1479
319	694	1476
320	697	1474
321	699	1473
322	701	1470
323	703	1467
324	704	1462
325	705	1458
326	708	1457
327	709	1453
328	710	1450
329	712	1446
330	714	1444
331	716	1441
332	717	1437
333	719	1433
334	720	1429
335	722	1427
336	723	1423
337	725	1420
338	726	1416
339	728	1414
340	730	1411
341	731	1407
342	733	1404
343	734	1400
344	735	1396
345	737	1393
346	738	1390
347	739	1386
348	741	1383
349	744	1382
350	746	1379
351	747	1376
352	749	1373
353	752	1372
354	753	1369
355	755	1366
356	756	1363
357	759	1361
358	760	1357
359	762	1354
360	763	1351
361	764	1348
362	766	1345
363	768	1342
364	769	1339
365	771	1335
366	773	1333
367	775	1331
368	776	1327
369	777	1324
370	779	1321
371	781	1319
372	783	1316
373	784	1313
374	786	1310
375	787	1306
376	789	1305
377	791	1301
378	792	1298
379	793	1295
380	796	1294
381	798	1291
382	799	1288
383	801	1285
384	804	1284
385	805	1281
386	806	1277
387	808	1274
388	811	1275
389	814	1273
390	815	1270
391	818	1268
392	820	1266
393	821	1264
394	823	1260
395	825	1258
396	826	1255
397	828	1253
398	829	1249
399	831	1246
400	833	1244
401	834	1241
402	835	1238
403	837	1234
404	838	1231
405	840	1229
406	842	1226
407	843	1223
408	845	1221
409	847	1219
410	848	1216
411	850	1213
412	851	1210
413	852	1207
414	855	1205
415	856	1202
416	857	1199
417	859	1196
418	860	1193
419	862	1191
420	864	1188
421	865	1185
422	867	1182
423	868	1180
424	870	1177
425	872	1175
426	873	1172
427	875	1169
428	876	1167
429	878	1164
430	879	1160
431	880	1157
432	881	1154
433	884	1153
434	885	1150
435	887	1147
436	888	1144
437	889	1141
438	891	1139
439	893	1137
440	894	1134
441	896	1132
442	898	1130
443	899	1126
444	901	1124
445	902	1121
446	904	1118
447	906	1117
448	907	1114
449	909	1111
450	910	1108
451	911	1105
452	914	1103
453	915	1100
454	916	1097
455	917	1094
456	919	1092
457	921	1090
458	922	1087
459	924	1085
460	925	1082
461	927	1080
462	929	1077
463	930	1074
464	931	1071
465	932	1068
466	934	1066
467	935	1063
468	937	1061
469	938	1058
470	940	1055
471	941	1053
472	943	1051
473	945	1048
474	946	1046
475	947	1043
476	948	1040
477	951	1038
478	952	1035
479	953	1033
480	955	1030
481	956	1028
482	958	1026
483	960	1024
484	962	1021
485	963	1018
486	965	1017
487	967	1014
488	968	1011
489	969	1009
490	971	1006
491	973	1004
492	974	1002
493	976	999
494	977	997
495	978	994
496	980	992
497	982	989
498	983	987
499	984	984
500	986	983
501	988	980
502	989	977
503	990	975
504	992	972
505	994	970
506	995	967
507	996	965
508	998	962
509	999	960
510	1001	958
511	1003	956
512	1004	954
513	1006	951
514	1008	949
515	1010	947
516	1011	945
517	1012	942
518	1013	939
519	1017	938
520	1019	937
521	1021	935
522	1023	933
523	1025	931
524	1027	929
525	1029	927
526	1031	925
527	1032	923
528	1034	920
529	1037	920
530	1039	917
531	1040	915
532	1042	913
533	1044	911
534	1046	909
535	1047	907
536	1050	905
537	1052	903
538	1054	901
539	1057	900
540	1059	898
541	1061	896
542	1062	894
543	1064	892
544	1066	890
545	1068	888
546	1070	886
547	1073	885
548	1076	884
549	1077	881
550	1082	882
551	1083	879
552	1085	877
553	1087	875
554	1089	873
555	1091	871
556	1093	869
